Fragment, ChargeState, m/z, intensity
LastScan TIC, 371930.1875
a01,-1,264.073827388198,36.218433380127
a02,-1,584.114779401188,439.285705566406
a03,-1,913.167299157388,549.756896972656
a04,-1,1218.20858552355,164.852233886719
a05,-1,1538.24953753654,593.561462402344
a05,-2,768.621130534863,404.654205322266
aBase03,-1,778.112803973038,57.7730255126953
aBase05,-1,1426.22226015954,65.9610595703125
b02,-1,602.125344084888,95.8499298095703
c01,-1,344.040157908948,80.8881988525391
c02,-1,664.081109921938,90.4973983764648
c03,-1,993.133629678138,136.69905090332
c03,-2,496.063176605663,47.0320625305176
c04,-1,1298.1749160443,119.323638916016
c04,-2,648.583819788743,44.8679122924805
c05,-1,1618.21586805729,460.415649414063
c05,-2,808.604295795238,130.976913452148
d01,-1,362.050722592648,3624.826171875
d02,-1,682.091674605638,8277.4619140625
d02,-2,340.542199069413,82.7773818969727
d03,-1,1011.14419436184,1012.61999511719
d03,-2,505.068458947513,814.846008300781
d04,-1,1316.185480728,1045.78332519531
d04,-2,657.589102130593,401.959259033203
d05,-1,1636.22643274099,5879.0068359375
d05,-2,817.609578137088,4258.05224609375
d05,-3,544.737293269121,120.701072692871
w01,-1,362.050722592648,3624.826171875
w02,-1,682.091674605638,8277.4619140625
w02,-2,340.542199069413,82.7773818969727
w03,-1,987.132960971798,3549.68212890625
w03,-2,493.062842252493,2202.40502929688
w04,-1,1316.185480728,1045.78332519531
w04,-2,657.589102130593,401.959259033203
w05,-1,1636.22643274099,5879.0068359375
w05,-2,817.609578137088,4258.05224609375
w05,-3,544.737293269121,120.701072692871
x01,-1,344.040157908948,80.8881988525391
x02,-1,664.081109921938,90.4973983764648
x03,-1,969.122396288098,170.055252075195
x04,-1,1298.1749160443,119.323638916016
x04,-2,648.583819788743,44.8679122924805
x05,-1,1618.21586805729,460.415649414063
x05,-2,808.604295795238,130.976913452148
y02,-1,602.125344084888,95.8499298095703
y03,-1,907.166630451048,78.2707443237305
z01,-1,264.073827388198,36.218433380127
z02,-1,584.114779401188,439.285705566406
z03,-1,889.156065767348,82.1388244628906
z04,-1,1218.20858552355,164.852233886719
z05,-1,1538.24953753654,593.561462402344
z05,-2,768.621130534863,404.654205322266
zBase03,-1,778.112803973038,57.7730255126953
zBase05,-1,1426.22226015954,65.9610595703125
